Nombre,Ultima,Max,Min,Hora/Fecha
Acciona,213.40,217.00,209.60,27/03
Acciona Ener,20.40,21.40,20.30,27/03
Acerinox,12.27,12.48,12.17,27/03
ACS,102.50,104.80,100.90,27/03
Aena,25.63,25.72,25.37,27/03
Amadeus,48.60,50.26,48.30,27/03
ArcelorMittal,43.52,44.79,43.03,27/03
B. Sabadell,3.02,3.08,3.01,27/03
Bankinter,13.33,13.56,13.24,27/03
BBVA,17.91,18.41,17.82,27/03
CaixaBank,10.05,10.27,10.02,27/03
Cellnex Telecom,26.49,26.49,25.98,27/03
Colonial SFL,4.91,4.97,4.88,27/03
Enagás,17.14,17.17,15.53,27/03
Endesa,34.90,35.17,34.53,27/03
Ferrovial Se,54.66,55.14,54.28,27/03
Fluidra,20.04,20.10,19.76,27/03
Grifols,8.73,8.83,8.61,27/03
IAG,4.11,4.17,4.08,27/03
Iberdrola,19.13,19.31,18.97,27/03
Inditex,49.50,50.56,48.98,27/03
Indra,45.00,47.08,44.84,27/03
Logista,31.76,31.80,31.28,27/03
Mapfre,3.73,3.76,3.72,27/03
Merlin Properties,13.93,14.25,13.79,27/03
Naturgy,25.64,25.76,25.30,27/03
Puig Brands B,17.10,17.55,17.03,27/03
Redeia,14.21,14.61,14.21,27/03
Repsol,24.07,24.43,23.77,27/03
ROVI,78.90,80.00,78.35,27/03
Sacyr,4.17,4.17,4.10,27/03
B. Santander,9.40,9.55,9.32,27/03
Solaria,22.78,24.12,22.57,27/03
Telefónica,3.67,3.70,3.63,27/03
Unicaja Banco,2.49,2.52,2.47,27/03
Acciona,213.40,217.00,209.60,27/03
Acciona Ener,20.40,21.40,20.30,27/03
Acerinox,12.27,12.48,12.17,27/03
ACS,102.50,104.80,100.90,27/03
Aena,25.63,25.72,25.37,27/03
Amadeus,48.60,50.26,48.30,27/03
ArcelorMittal,43.52,44.79,43.03,27/03
B. Sabadell,3.02,3.08,3.01,27/03
Bankinter,13.33,13.56,13.24,27/03
BBVA,17.91,18.41,17.82,27/03
CaixaBank,10.05,10.27,10.02,27/03
Cellnex Telecom,26.49,26.49,25.98,27/03
Colonial SFL,4.91,4.97,4.88,27/03
Enagás,17.14,17.17,15.53,27/03
Endesa,34.90,35.17,34.53,27/03
Ferrovial Se,54.66,55.14,54.28,27/03
Fluidra,20.04,20.10,19.76,27/03
Grifols,8.73,8.83,8.61,27/03
IAG,4.11,4.17,4.08,27/03
Iberdrola,19.13,19.31,18.97,27/03
Inditex,49.50,50.56,48.98,27/03
Indra,45.00,47.08,44.84,27/03
Logista,31.76,31.80,31.28,27/03
Mapfre,3.73,3.76,3.72,27/03
Merlin Properties,13.93,14.25,13.79,27/03
Naturgy,25.64,25.76,25.30,27/03
Puig Brands B,17.10,17.55,17.03,27/03
Redeia,14.21,14.61,14.21,27/03
Repsol,24.07,24.43,23.77,27/03
ROVI,78.90,80.00,78.35,27/03
Sacyr,4.17,4.17,4.10,27/03
B. Santander,9.40,9.55,9.32,27/03
Solaria,22.78,24.12,22.57,27/03
Telefónica,3.67,3.70,3.63,27/03
Unicaja Banco,2.49,2.52,2.47,27/03
Acciona,213.40,217.00,209.60,27/03
Acciona Ener,20.40,21.40,20.30,27/03
Acerinox,12.27,12.48,12.17,27/03
ACS,102.50,104.80,100.90,27/03
Aena,25.63,25.72,25.37,27/03
Amadeus,48.60,50.26,48.30,27/03
ArcelorMittal,43.52,44.79,43.03,27/03
B. Sabadell,3.02,3.08,3.01,27/03
Bankinter,13.33,13.56,13.24,27/03
BBVA,17.91,18.41,17.82,27/03
CaixaBank,10.05,10.27,10.02,27/03
Cellnex Telecom,26.49,26.49,25.98,27/03
Colonial SFL,4.91,4.97,4.88,27/03
Enagás,17.14,17.17,15.53,27/03
Endesa,34.90,35.17,34.53,27/03
Ferrovial Se,54.66,55.14,54.28,27/03
Fluidra,20.04,20.10,19.76,27/03
Grifols,8.73,8.83,8.61,27/03
IAG,4.11,4.17,4.08,27/03
Iberdrola,19.13,19.31,18.97,27/03
Inditex,49.50,50.56,48.98,27/03
Indra,45.00,47.08,44.84,27/03
Logista,31.76,31.80,31.28,27/03
Mapfre,3.73,3.76,3.72,27/03
Merlin Properties,13.93,14.25,13.79,27/03
Naturgy,25.64,25.76,25.30,27/03
Puig Brands B,17.10,17.55,17.03,27/03
Redeia,14.21,14.61,14.21,27/03
Repsol,24.07,24.43,23.77,27/03
ROVI,78.90,80.00,78.35,27/03
Sacyr,4.17,4.17,4.10,27/03
B. Santander,9.40,9.55,9.32,27/03
Solaria,22.78,24.12,22.57,27/03
Telefónica,3.67,3.70,3.63,27/03
Unicaja Banco,2.49,2.52,2.47,27/03
Acciona,213.40,217.00,209.60,27/03
Acciona Ener,20.40,21.40,20.30,27/03
Acerinox,12.27,12.48,12.17,27/03
ACS,102.50,104.80,100.90,27/03
Aena,25.63,25.72,25.37,27/03
Amadeus,48.60,50.26,48.30,27/03
ArcelorMittal,43.52,44.79,43.03,27/03
B. Sabadell,3.02,3.08,3.01,27/03
Bankinter,13.33,13.56,13.24,27/03
BBVA,17.91,18.41,17.82,27/03
CaixaBank,10.05,10.27,10.02,27/03
Cellnex Telecom,26.49,26.49,25.98,27/03
Colonial SFL,4.91,4.97,4.88,27/03
Enagás,17.14,17.17,15.53,27/03
Endesa,34.90,35.17,34.53,27/03
Ferrovial Se,54.66,55.14,54.28,27/03
Fluidra,20.04,20.10,19.76,27/03
Grifols,8.73,8.83,8.61,27/03
IAG,4.11,4.17,4.08,27/03
Iberdrola,19.13,19.31,18.97,27/03
Inditex,49.50,50.56,48.98,27/03
Indra,45.00,47.08,44.84,27/03
Logista,31.76,31.80,31.28,27/03
Mapfre,3.73,3.76,3.72,27/03
Merlin Properties,13.93,14.25,13.79,27/03
Naturgy,25.64,25.76,25.30,27/03
Puig Brands B,17.10,17.55,17.03,27/03
Redeia,14.21,14.61,14.21,27/03
Repsol,24.07,24.43,23.77,27/03
ROVI,78.90,80.00,78.35,27/03
Sacyr,4.17,4.17,4.10,27/03
B. Santander,9.40,9.55,9.32,27/03
Solaria,22.78,24.12,22.57,27/03
Telefónica,3.67,3.70,3.63,27/03
Unicaja Banco,2.49,2.52,2.47,27/03
Acciona,213.40,217.00,209.60,27/03
Acciona Ener,20.40,21.40,20.30,27/03
Acerinox,12.27,12.48,12.17,27/03
ACS,102.50,104.80,100.90,27/03
Aena,25.63,25.72,25.37,27/03
Amadeus,48.60,50.26,48.30,27/03
ArcelorMittal,43.52,44.79,43.03,27/03
B. Sabadell,3.02,3.08,3.01,27/03
Bankinter,13.33,13.56,13.24,27/03
BBVA,17.91,18.41,17.82,27/03
CaixaBank,10.05,10.27,10.02,27/03
Cellnex Telecom,26.49,26.49,25.98,27/03
Colonial SFL,4.91,4.97,4.88,27/03
Enagás,17.14,17.17,15.53,27/03
Endesa,34.90,35.17,34.53,27/03
Ferrovial Se,54.66,55.14,54.28,27/03
Fluidra,20.04,20.10,19.76,27/03
Grifols,8.73,8.83,8.61,27/03
IAG,4.11,4.17,4.08,27/03
Iberdrola,19.13,19.31,18.97,27/03
Inditex,49.50,50.56,48.98,27/03
Indra,45.00,47.08,44.84,27/03
Logista,31.76,31.80,31.28,27/03
Mapfre,3.73,3.76,3.72,27/03
Merlin Properties,13.93,14.25,13.79,27/03
Naturgy,25.64,25.76,25.30,27/03
Puig Brands B,17.10,17.55,17.03,27/03
Redeia,14.21,14.61,14.21,27/03
Repsol,24.07,24.43,23.77,27/03
ROVI,78.90,80.00,78.35,27/03
Sacyr,4.17,4.17,4.10,27/03
B. Santander,9.40,9.55,9.32,27/03
Solaria,22.78,24.12,22.57,27/03
Telefónica,3.67,3.70,3.63,27/03
Unicaja Banco,2.49,2.52,2.47,27/03
