Nombre,Ultima,Max,Min,Hora/Fecha
Acciona,217.80,218.40,210.00,2026-03-30 11:36:19
Acciona Ener,20.96,21.00,20.52,2026-03-30 11:36:20
Acerinox,12.12,12.23,12.05,2026-03-30 11:36:21
ACS,103.10,103.60,101.60,2026-03-30 11:36:21
Aena,25.70,25.79,25.56,2026-03-30 11:36:21
Amadeus,48.76,49.31,48.75,2026-03-30 11:36:21
ArcelorMittal,43.20,43.91,42.79,2026-03-30 11:36:22
B. Sabadell,3.02,3.04,3.00,2026-03-30 11:36:22
Bankinter,13.40,13.46,13.26,2026-03-30 11:36:22
BBVA,17.96,18.08,17.82,2026-03-30 11:36:22
CaixaBank,10.10,10.19,10.00,2026-03-30 11:36:22
Cellnex Telecom,26.55,26.65,26.22,2026-03-30 11:36:22
Colonial SFL,4.98,5.00,4.90,2026-03-30 11:36:23
Enagás,17.26,17.28,16.76,2026-03-30 11:36:23
Endesa,35.62,35.70,34.98,2026-03-30 11:36:23
Ferrovial Se,54.88,55.18,54.32,2026-03-30 11:36:23
Fluidra,20.02,20.06,19.86,2026-03-30 11:36:24
Grifols,8.70,8.83,8.60,2026-03-30 11:36:24
IAG,4.02,4.09,4.01,2026-03-30 11:36:24
Iberdrola,19.51,19.55,19.16,2026-03-30 11:36:24
Inditex,49.61,50.04,49.37,2026-03-30 11:36:24
Indra,44.06,44.74,43.86,2026-03-30 11:36:24
Logista,31.78,31.86,31.46,2026-03-30 11:36:25
Mapfre,3.74,3.75,3.72,2026-03-30 11:36:25
Merlin Properties,13.87,14.03,13.85,2026-03-30 11:36:25
Naturgy,26.00,26.10,25.74,2026-03-30 11:36:25
Puig Brands B,17.20,17.26,17.09,2026-03-30 11:36:25
Redeia,14.43,14.45,14.25,2026-03-30 11:36:25
Repsol,24.37,24.55,24.10,2026-03-30 11:36:26
ROVI,79.25,79.35,78.25,2026-03-30 11:36:26
Sacyr,4.16,4.17,4.12,2026-03-30 11:36:26
B. Santander,9.41,9.47,9.30,2026-03-30 11:36:26
Solaria,23.15,23.17,22.58,2026-03-30 11:36:26
Telefónica,3.70,3.71,3.67,2026-03-30 11:36:27
Unicaja Banco,2.49,2.50,2.47,2026-03-30 11:36:27
Acciona,219.40,219.40,210.00,2026-03-30 12:38:32
Acciona Ener,21.02,21.02,20.52,2026-03-30 12:38:32
Acerinox,12.08,12.23,12.05,2026-03-30 12:38:32
ACS,103.00,103.60,101.60,2026-03-30 12:38:33
Aena,25.59,25.79,25.55,2026-03-30 12:38:34
Amadeus,48.72,49.31,48.57,2026-03-30 12:38:35
ArcelorMittal,43.20,43.91,42.79,2026-03-30 12:38:36
B. Sabadell,3.01,3.04,3.00,2026-03-30 12:38:36
Bankinter,13.40,13.46,13.26,2026-03-30 12:38:36
BBVA,17.91,18.08,17.79,2026-03-30 12:38:36
CaixaBank,10.09,10.19,10.00,2026-03-30 12:38:36
Cellnex Telecom,26.72,26.75,26.22,2026-03-30 12:38:36
Colonial SFL,4.98,5.00,4.90,2026-03-30 12:38:37
Enagás,17.04,17.28,16.76,2026-03-30 12:38:37
Endesa,35.77,35.77,34.98,2026-03-30 12:38:37
Ferrovial Se,54.80,55.18,54.32,2026-03-30 12:38:37
Fluidra,19.90,20.06,19.86,2026-03-30 12:38:37
Grifols,8.69,8.83,8.60,2026-03-30 12:38:37
IAG,4.03,4.09,4.01,2026-03-30 12:38:37
Iberdrola,19.59,19.59,19.16,2026-03-30 12:38:38
Inditex,49.46,50.04,49.36,2026-03-30 12:38:38
Indra,43.76,44.74,43.40,2026-03-30 12:38:38
Logista,31.72,31.86,31.46,2026-03-30 12:38:39
Mapfre,3.74,3.75,3.72,2026-03-30 12:38:39
Merlin Properties,13.89,14.03,13.85,2026-03-30 12:38:39
Naturgy,25.94,26.10,25.74,2026-03-30 12:38:39
Puig Brands B,17.23,17.26,17.09,2026-03-30 12:38:39
Redeia,14.45,14.46,14.25,2026-03-30 12:38:40
Repsol,24.36,24.55,24.10,2026-03-30 12:38:40
ROVI,79.10,79.35,78.25,2026-03-30 12:38:40
Sacyr,4.16,4.17,4.12,2026-03-30 12:38:40
B. Santander,9.40,9.47,9.30,2026-03-30 12:38:40
Solaria,23.25,23.31,22.58,2026-03-30 12:38:40
Telefónica,3.70,3.71,3.67,2026-03-30 12:38:40
Unicaja Banco,2.49,2.50,2.47,2026-03-30 12:38:40
Acciona,219.00,220.80,210.00,2026-03-30 14:21:55
Acciona Ener,21.02,21.14,20.52,2026-03-30 14:21:56
Acerinox,12.09,12.23,12.04,2026-03-30 14:21:56
ACS,103.10,103.70,101.60,2026-03-30 14:21:56
Aena,25.55,25.79,25.53,2026-03-30 14:21:56
Amadeus,48.58,49.31,48.57,2026-03-30 14:21:57
ArcelorMittal,43.08,43.91,42.79,2026-03-30 14:21:57
B. Sabadell,3.00,3.04,3.00,2026-03-30 14:21:57
Bankinter,13.43,13.55,13.26,2026-03-30 14:21:57
BBVA,17.92,18.10,17.79,2026-03-30 14:21:57
CaixaBank,10.08,10.19,10.00,2026-03-30 14:21:58
Cellnex Telecom,26.84,26.91,26.22,2026-03-30 14:21:58
Colonial SFL,4.99,5.01,4.90,2026-03-30 14:21:58
Enagás,17.01,17.28,16.76,2026-03-30 14:21:59
Endesa,35.70,35.81,34.98,2026-03-30 14:21:59
Ferrovial Se,54.70,55.18,54.32,2026-03-30 14:21:59
Fluidra,20.12,20.20,19.86,2026-03-30 14:21:59
Grifols,8.76,8.83,8.60,2026-03-30 14:21:59
IAG,4.03,4.09,4.01,2026-03-30 14:21:59
Iberdrola,19.52,19.61,19.16,2026-03-30 14:21:59
Inditex,49.48,50.04,49.34,2026-03-30 14:21:59
Indra,44.00,44.74,43.40,2026-03-30 14:21:59
Logista,31.78,31.88,31.46,2026-03-30 14:22:00
Mapfre,3.74,3.76,3.72,2026-03-30 14:22:00
Merlin Properties,13.94,14.03,13.85,2026-03-30 14:22:00
Naturgy,25.96,26.10,25.74,2026-03-30 14:22:00
Puig Brands B,17.16,17.27,17.09,2026-03-30 14:22:00
Redeia,14.43,14.47,14.25,2026-03-30 14:22:00
Repsol,24.39,24.55,24.10,2026-03-30 14:22:00
ROVI,79.60,79.75,78.25,2026-03-30 14:22:00
Sacyr,4.17,4.19,4.12,2026-03-30 14:22:01
B. Santander,9.40,9.50,9.30,2026-03-30 14:22:01
Solaria,23.41,23.57,22.58,2026-03-30 14:22:01
Telefónica,3.71,3.72,3.67,2026-03-30 14:22:01
Unicaja Banco,2.48,2.50,2.47,2026-03-30 14:22:01
