Nombre,Ultima,Max,Min,Hora/Fecha
Acciona,228.20,228.40,226.40,2026-04-02 09:47:35
Acciona Ener,21.32,21.38,21.24,2026-04-02 09:47:36
Acerinox,12.11,12.19,12.03,2026-04-02 09:47:36
ACS,108.50,112.00,107.90,2026-04-02 09:47:36
Aena,25.73,25.89,25.71,2026-04-02 09:47:37
Amadeus,48.90,49.13,48.38,2026-04-02 09:47:37
ArcelorMittal,44.95,45.02,44.53,2026-04-02 09:47:38
B. Sabadell,3.06,3.07,3.05,2026-04-02 09:47:40
Bankinter,13.61,13.73,13.58,2026-04-02 09:47:40
BBVA,18.63,18.64,18.35,2026-04-02 09:47:41
CaixaBank,10.37,10.37,10.26,2026-04-02 09:47:41
Cellnex Telecom,28.06,28.06,27.68,2026-04-02 09:47:41
Colonial SFL,5.15,5.16,5.08,2026-04-02 09:47:41
Enagás,17.12,17.13,17.01,2026-04-02 09:47:41
Endesa,36.93,36.93,36.64,2026-04-02 09:47:41
Ferrovial Se,56.56,56.86,56.40,2026-04-02 09:47:42
Fluidra,20.06,20.16,19.95,2026-04-02 09:47:42
Grifols,9.21,9.25,9.17,2026-04-02 09:47:42
IAG,4.17,4.17,4.09,2026-04-02 09:47:42
Iberdrola,20.18,20.18,20.02,2026-04-02 09:47:42
Inditex,50.20,50.28,49.86,2026-04-02 09:47:42
Indra,47.92,48.50,47.00,2026-04-02 09:47:42
Logista,32.72,32.80,32.52,2026-04-02 09:47:42
Mapfre,3.88,3.89,3.85,2026-04-02 09:47:43
Merlin Properties,14.34,14.34,14.08,2026-04-02 09:47:43
Naturgy,26.12,26.18,26.00,2026-04-02 09:47:43
Puig Brands B,17.36,17.36,17.14,2026-04-02 09:47:43
Redeia,14.96,14.99,14.81,2026-04-02 09:47:43
Repsol,24.19,24.22,23.79,2026-04-02 09:47:44
ROVI,82.20,82.30,81.40,2026-04-02 09:47:44
Sacyr,4.41,4.41,4.35,2026-04-02 09:47:44
B. Santander,9.73,9.74,9.68,2026-04-02 09:47:44
Solaria,24.45,24.51,23.96,2026-04-02 09:47:45
Telefónica,3.81,3.82,3.78,2026-04-02 09:47:45
Unicaja Banco,2.57,2.57,2.56,2026-04-02 09:47:45
Acciona,227.80,228.40,226.40,2026-04-02 12:55:36
Acciona Ener,21.32,21.38,21.24,2026-04-02 12:55:39
Acerinox,12.09,12.19,12.03,2026-04-02 12:55:39
ACS,109.20,112.00,107.80,2026-04-02 12:55:39
Aena,25.79,25.89,25.68,2026-04-02 12:55:39
Amadeus,48.61,49.13,48.38,2026-04-02 12:55:40
ArcelorMittal,45.13,45.36,44.53,2026-04-02 12:55:40
B. Sabadell,3.05,3.08,3.04,2026-04-02 12:55:40
Bankinter,13.58,13.73,13.55,2026-04-02 12:55:40
BBVA,18.46,18.71,18.35,2026-04-02 12:55:40
CaixaBank,10.30,10.41,10.26,2026-04-02 12:55:40
Cellnex Telecom,28.08,28.15,27.68,2026-04-02 12:55:40
Colonial SFL,5.17,5.18,5.08,2026-04-02 12:55:41
Enagás,17.18,17.23,17.01,2026-04-02 12:55:41
Endesa,36.99,37.10,36.64,2026-04-02 12:55:41
Ferrovial Se,56.48,56.86,56.38,2026-04-02 12:55:41
Fluidra,20.12,20.18,19.95,2026-04-02 12:55:41
Grifols,9.16,9.25,9.15,2026-04-02 12:55:41
IAG,4.17,4.18,4.09,2026-04-02 12:55:41
Iberdrola,20.03,20.18,20.02,2026-04-02 12:55:41
Inditex,50.10,50.56,49.86,2026-04-02 12:55:41
Indra,48.00,48.50,47.00,2026-04-02 12:55:42
Logista,32.70,32.82,32.52,2026-04-02 12:55:42
Mapfre,3.86,3.89,3.85,2026-04-02 12:55:42
Merlin Properties,14.36,14.46,14.08,2026-04-02 12:55:42
Naturgy,26.14,26.18,26.00,2026-04-02 12:55:42
Puig Brands B,17.27,17.37,17.14,2026-04-02 12:55:42
Redeia,14.86,15.03,14.81,2026-04-02 12:55:42
Repsol,24.33,24.43,23.79,2026-04-02 12:55:42
ROVI,82.15,82.45,81.40,2026-04-02 12:55:42
Sacyr,4.41,4.44,4.35,2026-04-02 12:55:42
B. Santander,9.69,9.77,9.67,2026-04-02 12:55:43
Solaria,24.51,24.54,23.96,2026-04-02 12:55:43
Telefónica,3.82,3.82,3.78,2026-04-02 12:55:43
Unicaja Banco,2.56,2.58,2.55,2026-04-02 12:55:43
Acciona,228.00,228.40,226.40,2026-04-02 13:57:52
Acciona Ener,21.32,21.38,21.24,2026-04-02 13:58:05
Acerinox,12.09,12.19,12.03,2026-04-02 13:58:09
ACS,109.30,112.00,107.80,2026-04-02 13:58:09
Aena,25.70,25.89,25.68,2026-04-02 13:58:09
Amadeus,48.33,49.13,48.27,2026-04-02 13:58:09
ArcelorMittal,44.90,45.36,44.53,2026-04-02 13:58:09
B. Sabadell,3.04,3.08,3.04,2026-04-02 13:58:10
Bankinter,13.59,13.73,13.55,2026-04-02 13:58:10
BBVA,18.44,18.71,18.35,2026-04-02 13:58:10
CaixaBank,10.30,10.41,10.26,2026-04-02 13:58:10
Cellnex Telecom,28.10,28.15,27.68,2026-04-02 13:58:10
Colonial SFL,5.17,5.18,5.08,2026-04-02 13:58:10
