Nombre,Ultima,Max,Min,Hora/Fecha
Acciona,220.60,222.40,218.00,2026-03-31 09:32:26
Acciona Ener,21.02,21.14,21.02,2026-03-31 09:32:27
Acerinox,12.00,12.11,12.00,2026-03-31 09:32:27
ACS,101.30,102.80,101.20,2026-03-31 09:32:27
Aena,25.58,25.68,25.52,2026-03-31 09:32:27
Amadeus,49.27,49.31,49.01,2026-03-31 09:32:28
ArcelorMittal,42.42,43.03,42.39,2026-03-31 09:32:28
B. Sabadell,3.05,3.07,3.04,2026-03-31 09:32:28
Bankinter,13.31,13.34,13.23,2026-03-31 09:32:28
BBVA,18.01,18.15,17.95,2026-03-31 09:32:29
CaixaBank,10.15,10.21,10.15,2026-03-31 09:32:29
Cellnex Telecom,27.25,27.29,27.12,2026-03-31 09:32:30
Colonial SFL,5.05,5.08,5.04,2026-03-31 09:32:30
Enagás,17.10,17.29,17.09,2026-03-31 09:32:30
Endesa,35.94,36.11,35.91,2026-03-31 09:32:30
Ferrovial Se,54.60,55.00,54.60,2026-03-31 09:32:30
Fluidra,19.89,20.04,19.88,2026-03-31 09:32:30
Grifols,8.84,8.84,8.77,2026-03-31 09:32:30
IAG,4.02,4.05,4.02,2026-03-31 09:32:30
Iberdrola,19.77,19.86,19.77,2026-03-31 09:32:30
Inditex,49.54,49.75,49.00,2026-03-31 09:32:30
Indra,45.36,45.88,45.28,2026-03-31 09:32:31
Logista,32.04,32.12,31.90,2026-03-31 09:32:31
Mapfre,3.81,3.82,3.79,2026-03-31 09:32:31
Merlin Properties,13.78,13.92,13.75,2026-03-31 09:32:31
Naturgy,26.16,26.30,26.16,2026-03-31 09:32:31
Puig Brands B,16.80,16.93,16.80,2026-03-31 09:32:31
Redeia,14.50,14.55,14.46,2026-03-31 09:32:31
Repsol,24.10,24.19,23.88,2026-03-31 09:32:31
ROVI,79.80,79.80,79.65,2026-03-31 09:32:32
Sacyr,4.16,4.18,4.16,2026-03-31 09:32:32
B. Santander,9.52,9.58,9.47,2026-03-31 09:32:32
Solaria,23.12,23.54,23.12,2026-03-31 09:32:32
Telefónica,3.80,3.81,3.77,2026-03-31 09:32:32
Unicaja Banco,2.50,2.51,2.49,2026-03-31 09:32:32
Acciona,223.80,224.00,218.00,2026-03-31 10:34:32
Acciona Ener,21.16,21.16,21.02,2026-03-31 10:34:33
Acerinox,12.01,12.11,11.93,2026-03-31 10:34:33
ACS,104.00,104.40,101.20,2026-03-31 10:34:33
Aena,25.75,25.80,25.52,2026-03-31 10:34:33
Amadeus,49.06,49.34,49.01,2026-03-31 10:34:33
ArcelorMittal,43.01,43.04,42.31,2026-03-31 10:34:34
B. Sabadell,3.07,3.08,3.04,2026-03-31 10:34:34
Bankinter,13.41,13.44,13.23,2026-03-31 10:34:34
BBVA,18.23,18.31,17.95,2026-03-31 10:34:34
CaixaBank,10.28,10.29,10.09,2026-03-31 10:34:34
Cellnex Telecom,27.52,27.56,27.12,2026-03-31 10:34:34
Colonial SFL,5.12,5.13,5.04,2026-03-31 10:34:34
Enagás,17.15,17.29,17.07,2026-03-31 10:34:34
Endesa,36.24,36.25,35.90,2026-03-31 10:34:34
Ferrovial Se,55.34,55.42,54.60,2026-03-31 10:34:35
Fluidra,20.02,20.04,19.70,2026-03-31 10:34:35
Grifols,8.88,8.88,8.77,2026-03-31 10:34:35
IAG,4.08,4.08,4.02,2026-03-31 10:34:35
Iberdrola,19.86,19.88,19.74,2026-03-31 10:34:35
Inditex,49.70,49.75,49.00,2026-03-31 10:34:35
Indra,46.34,46.60,45.14,2026-03-31 10:34:35
Logista,32.30,32.40,31.90,2026-03-31 10:34:35
Mapfre,3.85,3.86,3.79,2026-03-31 10:34:35
Merlin Properties,13.88,13.92,13.75,2026-03-31 10:34:35
Naturgy,26.30,26.30,26.16,2026-03-31 10:34:35
Puig Brands B,16.86,16.96,16.67,2026-03-31 10:34:36
Redeia,14.61,14.61,14.46,2026-03-31 10:34:36
Repsol,24.32,24.35,23.88,2026-03-31 10:34:36
ROVI,79.95,80.20,79.30,2026-03-31 10:34:36
Sacyr,4.20,4.22,4.16,2026-03-31 10:34:36
B. Santander,9.65,9.68,9.47,2026-03-31 10:34:36
Solaria,23.54,23.54,23.01,2026-03-31 10:34:36
Telefónica,3.80,3.81,3.77,2026-03-31 10:34:36
Unicaja Banco,2.53,2.53,2.49,2026-03-31 10:34:36
Acciona,223.60,224.00,218.00,2026-03-31 11:36:35
Acciona Ener,21.22,21.24,21.02,2026-03-31 11:36:38
Acerinox,12.00,12.11,11.93,2026-03-31 11:36:38
ACS,104.20,104.40,101.20,2026-03-31 11:36:38
Aena,25.76,25.83,25.52,2026-03-31 11:36:38
Amadeus,49.19,49.34,49.01,2026-03-31 11:36:38
ArcelorMittal,42.98,43.04,42.31,2026-03-31 11:36:38
B. Sabadell,3.07,3.08,3.04,2026-03-31 11:36:39
Bankinter,13.39,13.44,13.23,2026-03-31 11:36:39
BBVA,18.17,18.31,17.95,2026-03-31 11:36:39
CaixaBank,10.23,10.29,10.09,2026-03-31 11:36:39
Cellnex Telecom,27.62,27.63,27.12,2026-03-31 11:36:39
Colonial SFL,5.12,5.13,5.04,2026-03-31 11:36:39
Enagás,17.11,17.29,17.07,2026-03-31 11:36:39
Endesa,36.10,36.25,35.90,2026-03-31 11:36:39
Ferrovial Se,55.44,55.44,54.60,2026-03-31 11:36:39
Fluidra,19.96,20.04,19.70,2026-03-31 11:36:39
Grifols,8.83,8.88,8.77,2026-03-31 11:36:39
IAG,4.08,4.09,4.02,2026-03-31 11:36:40
Iberdrola,19.81,19.88,19.74,2026-03-31 11:36:40
Inditex,49.59,49.75,49.00,2026-03-31 11:36:40
Indra,46.44,46.60,45.14,2026-03-31 11:36:40
Logista,32.36,32.40,31.90,2026-03-31 11:36:40
Mapfre,3.85,3.86,3.79,2026-03-31 11:36:40
Merlin Properties,13.88,13.92,13.75,2026-03-31 11:36:40
Naturgy,26.18,26.30,26.16,2026-03-31 11:36:40
Puig Brands B,16.82,16.96,16.67,2026-03-31 11:36:40
Redeia,14.60,14.62,14.46,2026-03-31 11:36:40
Repsol,24.24,24.35,23.88,2026-03-31 11:36:41
ROVI,80.10,80.20,79.30,2026-03-31 11:36:41
Sacyr,4.21,4.22,4.16,2026-03-31 11:36:41
B. Santander,9.58,9.68,9.47,2026-03-31 11:36:41
Solaria,23.51,23.55,23.01,2026-03-31 11:36:41
Telefónica,3.81,3.81,3.77,2026-03-31 11:36:41
Unicaja Banco,2.52,2.53,2.49,2026-03-31 11:36:41
Acciona,224.20,224.60,218.00,2026-03-31 12:38:40
Acciona Ener,21.12,21.24,21.02,2026-03-31 12:38:42
Acerinox,12.00,12.11,11.93,2026-03-31 12:38:42
ACS,104.10,104.50,101.20,2026-03-31 12:38:42
Aena,25.67,25.83,25.52,2026-03-31 12:38:42
Amadeus,49.10,49.34,49.01,2026-03-31 12:38:42
ArcelorMittal,43.06,43.16,42.31,2026-03-31 12:38:42
B. Sabadell,3.07,3.08,3.04,2026-03-31 12:38:43
Bankinter,13.39,13.44,13.23,2026-03-31 12:38:43
BBVA,18.20,18.31,17.95,2026-03-31 12:38:43
CaixaBank,10.22,10.29,10.09,2026-03-31 12:38:43
Cellnex Telecom,27.73,27.78,27.12,2026-03-31 12:38:43
Colonial SFL,5.11,5.13,5.04,2026-03-31 12:38:43
Enagás,17.15,17.29,17.05,2026-03-31 12:38:43
Endesa,36.18,36.25,35.90,2026-03-31 12:38:43
Ferrovial Se,55.26,55.46,54.60,2026-03-31 12:38:43
Fluidra,19.96,20.04,19.70,2026-03-31 12:38:44
Grifols,8.84,8.88,8.77,2026-03-31 12:38:44
IAG,4.07,4.09,4.02,2026-03-31 12:38:44
